Simulation 2855, attempts 8, Collision
Simulation 2886, attempts 4, Success
Simulation 2893, attempts 8, Collision
Simulation 2897, attempts 8, Collision
Simulation 2912, attempts 1, Success
Simulation 2913, attempts 1, Success
Simulation 2914, attempts 1, Success
Simulation 2915, attempts 1, Success
Simulation 2916, attempts 1, Success
Simulation 2917, attempts 8, Collision
Simulation 2922, attempts 1, Success
Simulation 2949, attempts 2, Success
Simulation 2950, attempts 1, Success
Simulation 2960, attempts 2, Success
Simulation 2964, attempts 1, Success
Simulation 2968, attempts 2, Success
Simulation 2976, attempts 1, Success
Simulation 2986, attempts 1, Success
Simulation 2987, attempts 1, Success
Simulation 2991, attempts 1, Success
Simulation 2994, attempts 1, Success
Simulation 2995, attempts 1, Success
Simulation 3026, attempts 2, Success
Simulation 3038, attempts 1, Success
Simulation 3055, attempts 1, Success
Simulation 3060, attempts 1, Success
Simulation 3076, attempts 1, Success
Simulation 3083, attempts 1, Success
Simulation 3086, attempts 1, Success
Simulation 3089, attempts 1, Success
Simulation 3092, attempts 1, Success
Simulation 3100, attempts 1, Success
Simulation 3101, attempts 1, Success
Simulation 3102, attempts 1, Success
Simulation 3105, attempts 2, Success
Simulation 3108, attempts 1, Success
Simulation 3110, attempts 1, Success
Simulation 3115, attempts 1, Success
Simulation 3121, attempts 1, Success
Simulation 3122, attempts 1, Success
Simulation 3123, attempts 1, Success
Simulation 3127, attempts 1, Success
Simulation 3130, attempts 1, Success
Simulation 3134, attempts 1, Success
Simulation 3137, attempts 1, Success
Simulation 3142, attempts 1, Success
Simulation 3150, attempts 1, Success
Simulation 3152, attempts 1, Success
Simulation 3154, attempts 1, Success
Simulation 3155, attempts 1, Success
Simulation 3160, attempts 1, Success
Simulation 3165, attempts 1, Success
Simulation 3166, attempts 1, Success
Simulation 3169, attempts 1, Success
Simulation 3173, attempts 2, Success
Simulation 3175, attempts 1, Success
Simulation 3176, attempts 1, Success
Simulation 3180, attempts 1, Success
Simulation 3188, attempts 1, Success
Simulation 3192, attempts 1, Success
Simulation 3198, attempts 1, Success
Simulation 3217, attempts 1, Success
Simulation 3218, attempts 2, Success
Simulation 3223, attempts 1, Success
Simulation 3226, attempts 1, Success
Simulation 3227, attempts 1, Success
Simulation 3230, attempts 1, Success
Simulation 3232, attempts 1, Success
Simulation 3234, attempts 1, Success
Simulation 3235, attempts 1, Success
Simulation 3238, attempts 1, Success
Simulation 3243, attempts 1, Success
Simulation 3245, attempts 1, Success
Simulation 3247, attempts 2, Success
Simulation 3252, attempts 1, Success
Simulation 3255, attempts 1, Success
Simulation 3264, attempts 1, Success
Simulation 3280, attempts 1, Success
Simulation 3284, attempts 1, Success
Simulation 3297, attempts 1, Success
Simulation 3298, attempts 1, Success
Simulation 3304, attempts 1, Success
Simulation 3314, attempts 1, Success
Simulation 3323, attempts 1, Success
Simulation 3334, attempts 1, Success
Simulation 3353, attempts 1, Success
Simulation 3366, attempts 1, Success
Simulation 3368, attempts 1, Success
Simulation 3372, attempts 1, Success
Simulation 3376, attempts 1, Success
Simulation 3377, attempts 1, Success
Simulation 3378, attempts 1, Success
Simulation 3408, attempts 1, Success
Simulation 3409, attempts 4, Success
Simulation 3411, attempts 2, Success
Simulation 3413, attempts 1, Success
Simulation 3423, attempts 1, Success
Simulation 3427, attempts 1, Success
Simulation 3432, attempts 1, Success
Simulation 3435, attempts 1, Success
Simulation 3436, attempts 1, Success
Simulation 3447, attempts 2, Success
Simulation 3451, attempts 1, Success
Simulation 3454, attempts 1, Success
Simulation 3464, attempts 1, Success
Simulation 3465, attempts 1, Success
Simulation 3471, attempts 2, Success
Simulation 3479, attempts 1, Success
Simulation 3485, attempts 2, Success
Simulation 3490, attempts 1, Success
Simulation 3496, attempts 1, Success
Simulation 3512, attempts 1, Success
Simulation 3517, attempts 1, Success
Simulation 3518, attempts 1, Success
Simulation 3531, attempts 1, Success
Simulation 3532, attempts 2, Success
Simulation 3535, attempts 1, Success
Simulation 3536, attempts 1, Success
Simulation 3539, attempts 1, Success
Simulation 3540, attempts 1, Success
Simulation 3551, attempts 1, Success
Simulation 3554, attempts 1, Success
Simulation 3562, attempts 4, Success
Simulation 3564, attempts 1, Success
Simulation 3573, attempts 1, Success
Simulation 3574, attempts 1, Success
Simulation 3575, attempts 1, Success
Simulation 3578, attempts 1, Success
Simulation 3585, attempts 1, Success
Simulation 3591, attempts 3, Success
Simulation 3593, attempts 1, Success
Simulation 3603, attempts 1, Success
Simulation 3605, attempts 2, Success
Simulation 3610, attempts 1, Success
Simulation 3611, attempts 1, Success
Simulation 3614, attempts 1, Success
Simulation 3616, attempts 1, Success
Simulation 3617, attempts 1, Success
Simulation 3628, attempts 1, Success
Simulation 3629, attempts 1, Success
Simulation 3639, attempts 1, Success
Simulation 3640, attempts 1, Success
Simulation 3647, attempts 1, Success
Simulation 3649, attempts 1, Success
Simulation 3650, attempts 1, Success
Simulation 3652, attempts 1, Success
Simulation 3656, attempts 1, Success
Simulation 3661, attempts 1, Success
Simulation 3668, attempts 1, Success
Simulation 3671, attempts 1, Success
Simulation 3676, attempts 1, Success
Simulation 3682, attempts 1, Success
Simulation 3690, attempts 1, Success
Simulation 3698, attempts 1, Success
Simulation 3707, attempts 1, Success
Simulation 3711, attempts 1, Success
Simulation 3721, attempts 1, Success
Simulation 3729, attempts 3, Success
Simulation 3740, attempts 1, Success
Simulation 3751, attempts 1, Success
Simulation 3753, attempts 1, Success
Simulation 3754, attempts 1, Success
Simulation 3762, attempts 2, Success
Simulation 3772, attempts 1, Success
Simulation 3775, attempts 1, Success
Simulation 3778, attempts 1, Success
Simulation 3781, attempts 1, Success
Simulation 3794, attempts 1, Success
Simulation 3800, attempts 1, Success
Simulation 3805, attempts 7, Success
Simulation 3807, attempts 1, Success
Simulation 3808, attempts 2, Success
Simulation 3816, attempts 1, Success
Simulation 3819, attempts 1, Success
Simulation 3839, attempts 1, Success
Simulation 3844, attempts 1, Success
Simulation 3846, attempts 1, Success
Simulation 3851, attempts 1, Success
Simulation 3857, attempts 1, Success
Simulation 3872, attempts 1, Success
Simulation 3875, attempts 1, Success
Simulation 3883, attempts 1, Success
Simulation 3884, attempts 1, Success
Simulation 3910, attempts 1, Success
Simulation 3913, attempts 1, Success
Simulation 3925, attempts 1, Success
Simulation 3926, attempts 1, Success
Simulation 3927, attempts 1, Success
Simulation 3928, attempts 1, Success
Simulation 3929, attempts 1, Success
Simulation 3931, attempts 1, Success
Simulation 3939, attempts 1, Success
Simulation 3948, attempts 1, Success
Simulation 3950, attempts 4, Success
Simulation 3951, attempts 1, Success
Simulation 3952, attempts 1, Success
Simulation 3965, attempts 1, Success
Simulation 3966, attempts 1, Success
Simulation 3969, attempts 1, Success
Simulation 3976, attempts 1, Success
Simulation 3981, attempts 1, Success
Simulation 3990, attempts 1, Success
Simulation 3993, attempts 1, Success
Simulation 4001, attempts 1, Success
Simulation 4002, attempts 3, Success
Simulation 4011, attempts 1, Success
