x,y,z,Mx,My,Mz
-0.661863,5.190802,-11.396572,-0.736197,-0.01268,0.03099
-1.181864,4.890801,-9.676571,-0.701197,0.02132,0.03199
-0.931864,4.490802,-8.876575,-0.655197,0.02232,0.02999
-1.161863,4.550801,-9.006573,-0.632197,0.04132,0.03099
-0.041862,2.970801,-5.866573,-0.629197,-0.00368,0.02999
0.788137,3.110802,-6.226574,-0.594197,0.00532,0.02699
0.498137,3.670801,-7.546574,-0.624197,-0.01568,0.02699
0.458138,2.670802,-5.736576,-0.539197,0.07432,0.02399
0.478136,2.710802,-4.976574,-0.487197,0.01032,0.01999
-0.021864,2.270802,-3.776573,-0.463197,0.02432,0.02199
0.088137,2.190802,-2.976574,-0.433197,-0.00068,0.02599
-0.161863,1.810802,-3.106575,-0.404197,0.02932,0.02799
-0.101864,1.620801,-3.886574,-0.407197,0.03232,0.02999
-0.281864,1.240801,-3.286575,-0.384197,0.05932,0.02899
-0.081863,1.240801,-3.016575,-0.343197,0.01032,0.03199
0.148136,1.330801,-2.586575,-0.299197,0.02932,0.03299
0.198137,1.140801,-1.186573,-0.303197,0.02132,0.03299
0.098137,1.130802,-1.156574,-0.277197,0.04732,0.03099
0.448137,0.770802,-1.286575,-0.274197,0.03332,0.03299
0.488136,0.450801,-0.426575,-0.261197,0.04132,0.02999
0.168137,1.040802,-0.796574,-0.269197,-0.01568,0.03299
0.408136,0.510801,-1.206573,-0.222197,0.02632,0.03199
0.638136,0.800801,-2.286575,-0.180197,-0.05968,0.03999
-1.241863,-0.559198,0.173428,-0.079197,0.05832,0.03899
-0.451864,-1.189198,0.273426,0.074803,0.00932,0.03999
0.048136,-0.969198,0.433426,0.069803,-0.04268,0.03999
-0.201864,-0.899199,-1.186573,0.020803,0.01632,0.03799
-0.201864,-1.609199,0.523426,0.019803,0.03632,0.03599
-0.731863,-1.019198,-0.296574,-0.001197,0.00032,0.04099
0.028137,1.430801,-1.556576,0.042803,-0.01168,0.04099
1.518137,-0.169199,-0.466576,0.050803,0.06032,0.03199
0.478136,-1.479198,0.513428,-0.070197,-0.00368,0.03499
-0.431864,-0.519198,-0.396572,-0.049197,-0.00368,0.04499
-0.391863,1.170802,-3.216576,0.052803,0.07732,0.04099
-0.281864,0.590802,-1.016575,0.010803,0.13632,0.03399
-0.401863,-1.389198,-0.106575,-0.103197,0.08232,0.03999
-0.191864,-1.059198,-1.086575,-0.038197,-0.02768,0.04399
0.138136,0.490801,-2.926575,0.012803,-0.02868,0.04199
-0.601864,0.890801,-0.706573,-0.036197,0.05832,0.04399
-2.521864,-1.769198,0.393425,-0.056197,0.14732,0.04299
-1.911863,-2.579199,-2.286575,0.040803,0.04532,0.03999
-0.081863,-0.199199,-2.896572,0.015803,-0.09868,0.04299
-0.221863,-0.269198,-2.166573,-0.093197,0.05532,0.03999
-1.041862,0.330801,-0.266575,-0.086197,0.11732,0.03899
-0.711863,0.980802,-1.676575,0.038803,0.03632,0.04699
0.018137,1.070802,-2.486572,0.131803,0.06532,0.04499
0.008137,0.120801,-1.946575,0.016803,0.16432,0.03499
-0.221863,-0.589199,-0.666573,-0.128197,0.08432,0.03599
-0.421864,0.730802,-1.716576,-0.024197,-0.03868,0.04499
-0.351864,0.910801,-2.886574,0.099803,0.03032,0.04499
0.028137,-0.319199,-1.056576,0.040803,0.07832,0.03699
-0.371862,-0.859199,-0.736572,-0.045197,0.03632,0.03499
-0.811863,0.210802,-0.776573,0.027803,0.00932,0.04199
-1.891863,0.010801,-2.896572,0.029803,0.01832,0.04499
-1.371862,-1.659199,-0.996574,-0.031197,0.04132,0.03699
0.298136,-0.149199,0.093426,0.019803,0.04332,0.03399
0.258137,0.940802,-0.496574,0.059803,0.04332,0.03899
-0.581863,-0.189198,-0.176575,0.018803,0.03332,0.04299
-0.521864,-1.229198,-0.866573,-0.059197,0.07832,0.03899
0.148136,-0.009199,-0.236572,-0.068197,0.05332,0.03599
